序号,点位ID,点位名称 (中文),英文名称 (English),所属国家,地理位置 / 省市,经度 (Lng),纬度 (Lat),景观分类,点位意境与人文描述,核心特色标签,推荐BPM,音乐调式/律动,核心配器音色,自然声场采样,AI音乐生成提示词 (中文关键词),AI Music Prompt (English),Midjourney视觉提示词 (Visual Prompt),对照音乐曲名,音乐创作者/艺术家,音乐匹配类型,对应的音乐文件
125,christredeemer,巴西里约热内卢 · 耶稣山基督像,Rio de Janeiro Christ the Redeemer,巴西,巴西 · 里约热内卢州,-43.2105,-22.9519,名山胜岳 / 巍峨雪峰,七百米驼背山顶张开双臂守护全城的巨型雕像。俯瞰科帕卡巴纳海滩与糖面包山，大西洋的海风吹拂着热带桑巴的奔放与包容。,世界新七大奇迹、里约地标、驼背山、桑巴之城、大西洋海湾,82,Bossa Nova Sunset · D Major,波萨诺瓦尼龙吉他 · 沙锤 · 海湾落日浪涛,环境声场,里约热内卢波萨诺瓦轻柔吉他纯乐、海湾落日、热带温暖、松弛惬意、BPM 82、Bossa Nova Sunset · D Major、环境声场、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 82 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Rio de Janeiro Christ the Redeemer (巴西里约热内卢 · 耶稣山基督像), 巴西 · 里约热内卢州, breathtaking view, 世界新七大奇迹, 里约地标, 驼背山, 桑巴之城, 大西洋海湾, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",珠穆朗玛峰 · 世界之巅,GeoMelody AI · 中国,分类意境伴奏,suno_020_everest.mp3
126,salardeuyuni,玻利维亚 · 乌尤尼盐沼天空之镜,Salar de Uyuni Sky Mirror,玻利维亚,玻利维亚 · 波托西省,-67.4891,-20.1338,宁静湖泊 / 高原圣湖,世界最大的盐沼，一万平方公里的绝对平坦。雨季时浅水覆盖形成无边无际的倒影，昼见纯白天穹，夜卧漫天银河，如同漫步星际。,世界最大盐沼、天空之镜、银河倒影、仙人掌岛、纯净奇迹,60,Cosmic Mirror Harmony · 432Hz,氛围电钢琴 · 星空泛音 · 辽阔微风,山间清风 / 微风拂过,乌尤尼盐沼天空之镜空灵音乐、星空倒影、极简钢琴、水天相接、洗涤心灵、BPM 60、Cosmic Mirror Harmony · 432Hz、山间清风 / 微风拂过、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 60 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Salar de Uyuni Sky Mirror (玻利维亚 · 乌尤尼盐沼天空之镜), 玻利维亚 · 波托西省, breathtaking view, 世界最大盐沼, 天空之镜, 银河倒影, 仙人掌岛, 纯净奇迹, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",玻利维亚 · 乌尤尼盐沼天空之镜,GeoMelody AI · 玻利维亚,专属定制曲目,suno_126_salardeuyuni.mp3
127,pyramids_giza,埃及开罗 · 吉萨金字塔群与狮身人面像,Giza Pyramids & Great Sphinx,埃及,埃及 · 吉萨省开罗近郊,31.1342,29.9792,浩瀚大漠 / 丝路遗迹,古代世界七大奇迹仅存的丰碑。胡夫金字塔巍然耸立在撒哈拉黄沙之中四千五百年，狮身人面像默默凝望尼罗河的晨曦与落日。,世界古代七大奇迹、世界文化遗产、胡夫金字塔、狮身人面像、尼罗河古文明,65,Ancient Egyptian Scale · G Minor,乌德琴 · 纳伊笛 · 撒哈拉长风,山间清风 / 微风拂过,埃及金字塔古埃及风情纯音乐、乌德琴与纳伊笛、沙漠夕阳、沧桑神秘、BPM 65、Ancient Egyptian Scale · G Minor、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 65 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Giza Pyramids & Great Sphinx (埃及开罗 · 吉萨金字塔群与狮身人面像), 埃及 · 吉萨省开罗近郊, breathtaking view, 世界古代七大奇迹, 世界文化遗产, 胡夫金字塔, 狮身人面像, 尼罗河古文明, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,分类意境伴奏,suno_035_sahara.mp3
128,tajmahal,印度阿格拉 · 泰姬陵,Taj Mahal Agra,印度,印度 · 北方邦阿格拉,78.0421,27.1751,古镇水乡 / 历史村落,大理石雕琢的永恒泪珠。纯白大理石圆顶倒映在亚穆纳河畔的莲花池中，精美绝伦的宝石镶嵌，诉说着沙贾汗对爱妃的旷世绝恋。,世界新七大奇迹、世界文化遗产、纯白大理石、旷世绝恋、莫卧儿艺术巅峰,68,Indian Raga Romance · C Major,西塔琴 · 塔布拉鼓微音 · 水池涟漪,山间清风 / 微风拂过,泰姬陵印度古典西塔琴纯音乐、纯白大理石倒影、深情悠扬、宁静圣洁、BPM 68、Indian Raga Romance · C Major、山间清风 / 微风拂过、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 68 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Taj Mahal Agra (印度阿格拉 · 泰姬陵), 印度 · 北方邦阿格拉, breathtaking view, 世界新七大奇迹, 世界文化遗产, 纯白大理石, 旷世绝恋, 莫卧儿艺术巅峰, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",乌镇水乡,GeoMelody AI · 中国,分类意境伴奏,suno_001_wuzhen.mp3
129,angkorwat,柬埔寨暹粒 · 吴哥窟与高棉的微笑,Angkor Wat & Bayon Temple,柬埔寨,柬埔寨 · 暹粒省,103.867,13.4125,幽深森林 / 自然秘境,热带丛林深处的石头奇迹。五座莲花佛塔倒映在护城河的日出朝霞中，巴戎寺二百一十六面慈悲安详的佛面，凝望着千年的风雨沧桑。,世界文化遗产、东方四大奇迹、高棉的微笑、吴哥日出、热带巨树纠缠,62,Khmer Mystic Harmony · 432Hz,热带木琴 · 铜锣微鸣 · 丛林晨鸟,晨曦鸟鸣 / 空山鸟语,吴哥窟热带丛林古刹纯音乐、高棉微笑、晨光微露、静谧祥和、BPM 62、Khmer Mystic Harmony · 432Hz、晨曦鸟鸣 / 空山鸟语、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 62 BPM, morning bird singing, forest birds chirp, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Angkor Wat & Bayon Temple (柬埔寨暹粒 · 吴哥窟与高棉的微笑), 柬埔寨 · 暹粒省, breathtaking view, 世界文化遗产, 东方四大奇迹, 高棉的微笑, 吴哥日出, 热带巨树纠缠, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",九寨沟 · 五彩童话森林,GeoMelody AI · 中国,分类意境伴奏,suno_039_jiuzhaigou.mp3
130,cappadocia,土耳其 · 卡帕多奇亚热气球奇石林,Cappadocia Hot Air Balloons & Fairy Chimneys,土耳其,土耳其 · 内夫谢希尔省格雷梅,34.8289,38.6431,浩瀚大漠 / 丝路遗迹,精灵烟囱与外星地貌的浪漫升腾。清晨数百只彩色热气球迎着朝阳冉冉升起，俯瞰千沟万壑的月球地貌与古老洞穴城堡。,世界文化与自然双遗产、热气球胜地、精灵烟囱、月球地貌、格雷梅国家公园,72,Anatolian Dawn Melody · G Major,卡龙琴 · 原声吉他 · 朝阳清风,山间清风 / 微风拂过,卡帕多奇亚热气球日出纯乐、土耳其卡龙琴与木吉他、浪漫升腾、视野开阔、BPM 72、Anatolian Dawn Melody · G Major、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 72 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Cappadocia Hot Air Balloons & Fairy Chimneys (土耳其 · 卡帕多奇亚热气球奇石林), 土耳其 · 内夫谢希尔省格雷梅, breathtaking view, 世界文化与自然双遗产, 热气球胜地, 精灵烟囱, 月球地貌, 格雷梅国家公园, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,分类意境伴奏,suno_035_sahara.mp3
131,serengeti,坦桑尼亚 · 塞伦盖蒂大草原野生动物大迁徙,Serengeti National Park Great Migration,坦桑尼亚,坦桑尼亚 · 塞伦盖蒂,34.8333,-2.3333,幽深森林 / 自然秘境,地球上最壮丽的生命交响诗。数百万角马与斑马跨越马拉河，金合欢树在非洲火红夕阳下勾勒出苍茫剪影，大自然生生不息的原始力量。,世界自然遗产、动物大迁徙、塞伦盖蒂大草原、非洲五霸、生命奇观,78,African Savannah Rhythms · D Major,卡林巴琴 · 拇指琴 · 非洲大地鼓声 · 草原微风,山间清风 / 微风拂过,塞伦盖蒂非洲草原纯乐、卡林巴琴与轻柔手鼓、落日金合欢树、辽阔苍茫、BPM 78、African Savannah Rhythms · D Major、山间清风 / 微风拂过、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 78 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Serengeti National Park Great Migration (坦桑尼亚 · 塞伦盖蒂大草原野生动物大迁徙), 坦桑尼亚 · 塞伦盖蒂, breathtaking view, 世界自然遗产, 动物大迁徙, 塞伦盖蒂大草原, 非洲五霸, 生命奇观, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",西塘古镇 · 烟雨长廊,GeoMelody AI · 中国,分类意境伴奏,suno_007_xitang.mp3
132,borabora_island,法属波利尼西亚 · 大溪地波拉波拉岛,Bora Bora Overwater Paradise Tahiti,法属波利尼西亚,法属波利尼西亚 · 社会群岛,-151.7415,-16.5004,海滨海岛 / 蔚蓝海域,太平洋上的梦幻绿松石。奥特马努山峰拔海而起，泻湖呈现出渐变的宝石蓝与薄荷绿，水上木屋直通清澈海底，人间天堂的终极定义。,太平洋明珠、水上木屋、绿松石泻湖、大溪地风情、蜜月度假胜地,70,Polynesian Ukulele Breeze · C Major,大溪地尤克里里 · 舒缓吉他 · 碧海清波,环境声场,波拉波拉岛热带海岛纯乐、尤克里里与海浪拍岸、阳光泻湖、无忧无虑、BPM 70、Polynesian Ukulele Breeze · C Major、环境声场、高清无损立体声,"tropical chillout, acoustic guitar, smooth piano, ukulele, ocean wave ambient, peaceful seaside sunset, warm breeze, instrumental, no vocals, 70 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Bora Bora Overwater Paradise Tahiti (法属波利尼西亚 · 大溪地波拉波拉岛), 法属波利尼西亚 · 社会群岛, breathtaking view, 太平洋明珠, 水上木屋, 绿松石泻湖, 大溪地风情, 蜜月度假胜地, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,分类意境伴奏,suno_035_sahara.mp3
133,antarctica_lemaire,南极洲 · 勒梅尔海峡冰川与企鹅海湾,Antarctica Lemaire Channel & Penguin Bay,南极洲,南极洲 · 南极半岛,-63.9533,-65.1319,名山胜岳 / 巍峨雪峰,地球最南端的纯白史诗。千米冰崖峭壁夹峙着如镜航道，浮冰上帽带企鹅憨态可掬，座头鲸跃出海面，第七大陆无与伦比的寂静与圣洁。,第七大陆、极地冰川、勒梅尔海峡、企鹅王国、地球最后净土,56,Polar Glacier Serenity · 432Hz,水晶清脆合成器 · 极地大提琴 · 冰川崩落回响,山间清风 / 微风拂过,南极洲极地纯净空灵音乐、水晶清音与冰川长风、纯白无瑕、净化心灵、BPM 56、Polar Glacier Serenity · 432Hz、山间清风 / 微风拂过、高清无损立体声,"cinematic ambient, grand mountain landscape, epic yet calm, airy bamboo flute, handpan, strings, ethereal atmosphere, instrumental, no vocals, 56 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Antarctica Lemaire Channel & Penguin Bay (南极洲 · 勒梅尔海峡冰川与企鹅海湾), 南极洲 · 南极半岛, breathtaking view, 第七大陆, 极地冰川, 勒梅尔海峡, 企鹅王国, 地球最后净土, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",珠穆朗玛峰 · 世界之巅,GeoMelody AI · 中国,分类意境伴奏,suno_020_everest.mp3
134,mariana-trench,马里亚纳海沟 · 挑战者深渊,Mariana Trench · Challenger Deep,西太平洋公海,"西太平洋 · 万米海渊 (-11,034米)",142.1996,11.3493,待认领秘境 / 探索坐标,【待认领秘境】地球的最深处，万米幽暗深渊。这里承受着超过1000倍的大气压，寂静无光的世界中，水声回荡在幽蓝海沟深处，等待勇敢者的声呐探索与图文认领。,待认领、挑战者深渊、地球极深处、神秘海沟、深海探索,52,Deep Abyss Drone · 432Hz,深海水听器共鸣 · 极低频波纹 · 鲸歌远鸣,海浪拍岸 / 潮汐涌动,深海万米深渊环境音、水下低频共振、神秘鲸鸣、深邃治愈助眠、BPM 52、Deep Abyss Drone · 432Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 52 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mariana Trench · Challenger Deep (马里亚纳海沟 · 挑战者深渊), 西太平洋 · 万米海渊 (-11,034米), breathtaking view, 待认领, 挑战者深渊, 地球极深处, 神秘海沟, 深海探索, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,分类意境伴奏,suno_035_sahara.mp3
135,point-nemo,尼莫点 · 太平洋海洋难抵极,Point Nemo · Oceanic Pole of Inaccessibility,南太平洋公海,南太平洋 · 航天器重返墓地,-123.3933,-48.8767,待认领秘境 / 探索坐标,"【待认领秘境】地球上距离任何陆地最遥远的点（2,688公里）。最近的人类往往是头顶400公里呼啸而过的国际空间站宇航员。万籁俱寂的浩瀚大洋，等待探险者留下足迹。",待认领、海洋难抵极、航天器坟场、绝对孤独、深洋绝境,48,Infinite Solitude · 528Hz,微风泛音合成器 · 孤舟水波 · 远古潮汐,海浪拍岸 / 潮汐涌动,无垠太平洋、深邃孤寂、远方微弱海浪声、静心冥想与深度睡眠、BPM 48、Infinite Solitude · 528Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 48 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Point Nemo · Oceanic Pole of Inaccessibility (尼莫点 · 太平洋海洋难抵极), 南太平洋 · 航天器重返墓地, breathtaking view, 待认领, 海洋难抵极, 航天器坟场, 绝对孤独, 深洋绝境, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,分类意境伴奏,suno_030_borabora.mp3
136,bermuda-triangle,百慕大神秘三角 · 罗盘静默海域,Bermuda Triangle · Sargasso Western Apex,北大西洋公海,北大西洋 · 萨尔加斯海西界,-71,25,待认领秘境 / 探索坐标,【待认领秘境】传说的迷航漩涡，磁暴与洋流交织的神秘水域。碧蓝的海水之下潜藏着无数失落的航船残骸与古代传说，星轨在深邃波涛中静默轮转。,待认领、神秘三角、大西洋传说、罗盘失灵、深蓝洋流,60,Atlantic Mystery · 432Hz,神秘流音管弦 · 潮汐鼓动 · 磁场脉冲晶音,海浪拍岸 / 潮汐涌动,大西洋神秘洋流、悠远深邃、潮水呼吸声、探索冥想氛围、BPM 60、Atlantic Mystery · 432Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 60 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Bermuda Triangle · Sargasso Western Apex (百慕大神秘三角 · 罗盘静默海域), 北大西洋 · 萨尔加斯海西界, breathtaking view, 待认领, 神秘三角, 大西洋传说, 罗盘失灵, 深蓝洋流, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,分类意境伴奏,suno_030_borabora.mp3
137,easter-island-abyss,复活节岛外海 · 摩艾巨石注视之海,Easter Island Trench · Rapa Nui Seamount,东南太平洋公海,东南太平洋 · 拉帕努伊海盆,-109.3497,-27.1127,待认领秘境 / 探索坐标,【待认领秘境】孤悬于浩瀚太平洋中央的神秘孤岛，千万年来数百座石雕摩艾像静静注视着无垠的海平面，海浪拍击火山礁岩，诉说着古波利尼西亚的航海史诗。,待认领、摩艾石像、孤绝之岛、星空航海、古老图腾,64,Polynesian Winds · 432Hz,木排箫 · 土著鼓点轻击 · 礁岩浪花,海浪拍岸 / 潮汐涌动,太平洋古老海岛风情、木箫悠扬、火山海浪拍打、治愈心灵、BPM 64、Polynesian Winds · 432Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 64 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Easter Island Trench · Rapa Nui Seamount (复活节岛外海 · 摩艾巨石注视之海), 东南太平洋 · 拉帕努伊海盆, breathtaking view, 待认领, 摩艾石像, 孤绝之岛, 星空航海, 古老图腾, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,分类意境伴奏,suno_030_borabora.mp3
138,galapagos-rift,加拉帕戈斯深海热泉 · 地心黑烟囱,Galapagos Hydrothermal Rift,东太平洋公海,"东太平洋 · 赤道热泉深渊 (-2,600米)",-90.9,0.8,待认领秘境 / 探索坐标,【待认领秘境】太平洋海底板块碰撞交汇处，喷涌着300°C矿脉热液的海底烟囱，孕育着地球上最不可思议的嗜热生物圈，仿佛异星球的外星地貌。,待认领、海底烟囱、深海热泉、达尔文秘境、地心生命,54,Thermal Vent Pulse · 432Hz,地热气泡声 · 深海回音合成器 · 恒定低频,海浪拍岸 / 潮汐涌动,深海热泉环境音、地热气泡律动、低频放松、科幻氛围纯音乐、BPM 54、Thermal Vent Pulse · 432Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 54 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Galapagos Hydrothermal Rift (加拉帕戈斯深海热泉 · 地心黑烟囱), 东太平洋 · 赤道热泉深渊 (-2,600米), breathtaking view, 待认领, 海底烟囱, 深海热泉, 达尔文秘境, 地心生命, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,分类意境伴奏,suno_030_borabora.mp3
139,tahiti-blue-hole,大溪地与波利尼西亚 · 琉璃蓝洞,Tahiti & Polynesia · Coral Blue Hole,南太平洋,南太平洋 · 法属波利尼西亚深海,-149.426,-17.6509,待认领秘境 / 探索坐标,【待认领秘境】深邃如蓝宝石般的环礁深坑，阳光穿透透明度极高的琉璃海水，五彩斑斓的珊瑚与鳐鱼在百米深蓝中翱翔，大洋深处的梦幻伊甸园。,待认领、深海蓝洞、玻璃海水、珊瑚环礁、南太平洋之珠,66,Turquoise Lagoon · 432Hz,钢舌鼓 · 尤克里里微泛音 · 清透波浪,海浪拍岸 / 潮汐涌动,大溪地海风微波、清澈阳光、舒缓空灵钢舌鼓、假日放松、BPM 66、Turquoise Lagoon · 432Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 66 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Tahiti & Polynesia · Coral Blue Hole (大溪地与波利尼西亚 · 琉璃蓝洞), 南太平洋 · 法属波利尼西亚深海, breathtaking view, 待认领, 深海蓝洞, 玻璃海水, 珊瑚环礁, 南太平洋之珠, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,分类意境伴奏,suno_030_borabora.mp3
140,mauritius-underwater-waterfall,毛里求斯 · 印度洋海底瀑布,Mauritius · Underwater Waterfall,印度洋,西南印度洋 · 勒莫恩半岛海域,57.3175,-20.4717,待认领秘境 / 探索坐标,【待认领秘境】大自然最震撼的视觉奇迹。海面之下细沙和淤泥顺着大陆架断崖奔流跌入4000米深海，勾勒出如同海底奔腾瀑布般的壮丽奇观。,待认领、海底瀑布、大陆架断崖、印度洋秘境、地质奇迹,70,Cascading Abyss · 432Hz,竖琴流连 · 弦乐潮涌 · 远洋水声,海浪拍岸 / 潮汐涌动,海底瀑布流动质感、舒缓优美竖琴、深海回响、空灵浩瀚、BPM 70、Cascading Abyss · 432Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 70 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mauritius · Underwater Waterfall (毛里求斯 · 印度洋海底瀑布), 西南印度洋 · 勒莫恩半岛海域, breathtaking view, 待认领, 海底瀑布, 大陆架断崖, 印度洋秘境, 地质奇迹, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,分类意境伴奏,suno_030_borabora.mp3
141,java-trench,爪哇海沟 · 巽他深渊,Java Trench · Sunda Deep Abyss,东印度洋公海,"东印度洋 · 巽他海沟 (-7,450米)",105.9833,-10.3167,待认领秘境 / 探索坐标,【待认领秘境】印度洋最深的海沟，欧亚板块与印度-澳洲板块的俯冲前沿。海水在万米重压下宛如深黑水晶，深海发光生物在暗夜波涛中闪烁点点星火。,待认领、印度洋极深、巽他深渊、发光生物、板块俯冲,50,Sunda Trench Echo · 432Hz,深水共鸣器 · 空间合成器 · 缓流低音,海浪拍岸 / 潮汐涌动,印度洋深渊冥想音、水流回旋、暗夜星光、深沉宁静、BPM 50、Sunda Trench Echo · 432Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 50 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Java Trench · Sunda Deep Abyss (爪哇海沟 · 巽他深渊), 东印度洋 · 巽他海沟 (-7,450米), breathtaking view, 待认领, 印度洋极深, 巽他深渊, 发光生物, 板块俯冲, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,分类意境伴奏,suno_030_borabora.mp3
142,drake-passage,德雷克海峡 · 魔鬼西风漂流带,Drake Passage · Furious Fifties Sea,南大洋公海,南大洋 · 合恩角南侧西风漂流带,-65,-58.5,待认领秘境 / 探索坐标,【待认领秘境】世界上最汹涌危险的海峡，大西洋与太平洋狂暴碰撞之所。滔天巨浪奔腾在咆哮的西风带中，信天翁振翅滑翔于苍茫冰冷的大洋之上。,待认领、咆哮西风带、狂暴巨浪、南极门户、极限航海,58,Furious Winds · 432Hz,低音大提琴 · 暴风雨海浪 · 悠长长笛,山间清风 / 微风拂过,极地风暴与怒涛、大提琴苍茫旋律、震撼壮美、航海史诗、BPM 58、Furious Winds · 432Hz、山间清风 / 微风拂过、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 58 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Drake Passage · Furious Fifties Sea (德雷克海峡 · 魔鬼西风漂流带), 南大洋 · 合恩角南侧西风漂流带, breathtaking view, 待认领, 咆哮西风带, 狂暴巨浪, 南极门户, 极限航海, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",波拉波拉岛 · 太平洋珍珠,GeoMelody AI · 法属波利尼西亚,分类意境伴奏,suno_030_borabora.mp3
143,azores-rift,亚速尔大西洋洋中脊 · 抹香鲸领地,Mid-Atlantic Ridge · Azores Whale Territory,北大西洋,北大西洋 · 洋中脊地质断裂带,-25.6756,37.7412,待认领秘境 / 探索坐标,【待认领秘境】地球最大的海底山脉——大西洋洋中脊露出海面的火山群岛。地热温泉与翡翠火山湖交相辉映，深海抹香鲸常年在此巡游繁衍。,待认领、大西洋洋中脊、抹香鲸圣地、火山温泉、深海裂谷,62,Atlantic Cetacean · 432Hz,清脆钢琴 · 鲸语声纳 · 潮汐和声,海浪拍岸 / 潮汐涌动,大西洋抹香鲸呼唤、钢琴纯音乐、潮水轻拂、治愈放松、BPM 62、Atlantic Cetacean · 432Hz、海浪拍岸 / 潮汐涌动、高清无损立体声,"ambient atmospheric drone, deep ocean chillout, ethereal handpan, crystal clear synth pads, peaceful wilderness, instrumental, no vocals, 62 BPM, gentle ocean waves, rhythmic tides, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Mid-Atlantic Ridge · Azores Whale Territory (亚速尔大西洋洋中脊 · 抹香鲸领地), 北大西洋 · 洋中脊地质断裂带, breathtaking view, 待认领, 大西洋洋中脊, 抹香鲸圣地, 火山温泉, 深海裂谷, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",婺源篁岭 · 晒秋梯田,GeoMelody AI · 中国,分类意境伴奏,suno_008_wuyuan.mp3
